date,group,percentage_h3,percentage_h3_new,percentage_h1n1,percentage_h1n1_new,percentage_b,flu_prop,flu_prop_smooth,Year,Week,ILI,N,ILI_per_100k,Season,Influenza,ILI_plus
2022-01-03,0-4,0,NA,0,0,0,0,NA,2021,52,18.433457999999998,3072243,0.6,2021/22,NA,NA
2022-01-10,0-4,0,NA,0,0,0,0,NA,2022,1,15.361215,3072243,0.5,2021/22,NA,NA
2022-01-17,0-4,0,0,0,0,0,0,0,2022,2,6.144486000000001,3072243,0.20000000000000004,2021/22,0,0
2022-01-24,0-4,1,0.3333333333333333,0,0,0,0,0,2022,3,18.433457999999998,3072243,0.6,2021/22,0,0
2022-01-31,0-4,0,0.3333333333333333,0,0,0,0.08333333333333333,0.027027027027027025,2022,4,24.577944000000002,3072243,0.8000000000000002,2021/22,0.6642687567567568,0.2214229189189189
2022-02-07,0-4,0,0.3333333333333333,0,0,0,0,0.0303030303030303,2022,5,30.72243,3072243,1,2021/22,0.9309827272727271,0.3103275757575757
2022-02-14,0-4,0,0,0,0,0,0,0.038461538461538464,2022,6,33.794673,3072243,1.1,2021/22,1.2997951153846157,0
2022-02-21,0-4,0,0,0,0,0,0,0,2022,7,12.288972000000001,3072243,0.4000000000000001,2021/22,0,0
2022-02-28,0-4,0,0,0,0,0,0,0,2022,8,18.433457999999998,3072243,0.6,2021/22,0,0
2022-03-07,0-4,1,0.3333333333333333,0,0,0,0.09090909090909091,0.02222222222222222,2022,9,21.505701,3072243,0.6999999999999998,2021/22,0.4779044666666666,0.15930148888888884
2022-03-14,0-4,0,0.3333333333333333,0,0,0,0,0.019230769230769232,2022,10,21.505701,3072243,0.6999999999999998,2021/22,0.4135711730769231,0.1378570576923077
2022-03-21,0-4,0,0.3333333333333333,1,1,0,0.06666666666666667,0.0425531914893617,2022,11,18.433457999999998,3072243,0.6,2021/22,0.7844024680851063,0.26146748936170205
2022-03-28,0-4,0,0,1,1,0,0.1,0.043478260869565216,2022,12,39.939159000000004,3072243,1.3,2021/22,1.7364851739130436,0
2022-04-04,0-4,1,0.3333333333333333,0,0,0,0.16666666666666666,0.11627906976744186,2022,13,30.72243,3072243,1,2021/22,3.572375581395349,1.1907918604651162
2022-04-11,0-4,0,0.3333333333333333,0,0,0,0,0.1111111111111111,2022,14,36.866915999999996,3072243,1.2,2021/22,4.096323999999999,1.365441333333333
2022-04-18,0-4,1,0.6666666666666666,0,0,0,0.1,0.1111111111111111,2022,15,12.288972000000001,3072243,0.4000000000000001,2021/22,1.3654413333333333,0.9102942222222221
2022-04-25,0-4,0,0.3333333333333333,0,0,0,0,0.039999999999999994,2022,16,24.577944000000002,3072243,0.8000000000000002,2021/22,0.98311776,0.32770592
2022-05-02,0-4,1,0.6666666666666666,0,0,0,0.09090909090909091,0.07142857142857142,2022,17,9.216728999999999,3072243,0.3,2021/22,0.6583377857142856,0.43889185714285706
2022-05-09,0-4,1,0.6666666666666666,0,0,0,0.06666666666666667,0.0606060606060606,2022,18,24.577944000000002,3072243,0.8000000000000002,2021/22,1.4895723636363636,0.9930482424242424
2022-05-16,0-4,0,0.6666666666666666,1,1,0,0.08333333333333333,0.07894736842105264,2022,19,36.866915999999996,3072243,1.2,2021/22,2.910546,1.940364
2022-05-23,0-4,0,0.3333333333333333,0,0,0,0,0.05555555555555555,2022,20,52.228131,3072243,1.7,2021/22,2.901562833333333,0.9671876111111111
2022-05-30,0-4,0,0,0,0,0,0,0.037037037037037035,2022,21,33.794673,3072243,1.1,2021/22,1.2516545555555556,0
2022-06-06,0-4,0,0,0,0,0,0,0,2022,22,9.216728999999999,3072243,0.3,2021/22,0,0
